#t,src_x,src_y,src_z,src_qx,src_qy,src_qz,src_qw,det_x,det_y,det_z,det_qx,det_qy,det_qz,det_qw
1449598611689340000,0.06,-0.15,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.06,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.06,-0.15,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.06,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.15,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.15,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.15,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.15,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.15,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.15,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.15,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.15,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.15,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.15,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.15,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.15,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.15,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.15,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.15,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.15,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.15,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.15,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
